C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_208.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_208.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_208.jpg, 0, 0, 0, 7.883579E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_455.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_455.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_455.jpg, 0, 0, 0, 7.862136E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_567.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_567.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_567.jpg, 0, 0, 0, 7.794993E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_714.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_714.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_714.jpg, 0, 0, 0, 7.809413E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_826.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_826.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_826.jpg, 0, 0, 0, 7.799209E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_36_966.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_36_966.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_36_966.jpg, 0, 0, 0, 7.806657E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_37_080.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_37_080.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_37_080.jpg, 0, 0, 0, 7.809664E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_37_219.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_37_219.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_37_219.jpg, 0, 0, 0, 7.817721E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_37_339.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_37_339.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_37_339.jpg, 0, 0, 0, 7.832654E-05
C:\Users\Ela\Desktop\img_data\IMG\center_2021_01_01_15_02_37_485.jpg, C:\Users\Ela\Desktop\img_data\IMG\left_2021_01_01_15_02_37_485.jpg, C:\Users\Ela\Desktop\img_data\IMG\right_2021_01_01_15_02_37_485.jpg, 0, 0, 0, 7.922229E-05
